"dyad_id","initiator_country","initiator_alpha_2","receiver_country","receiver_country_alpha_2_code","incident_id","name","description","start_date","end_date","source_disclosure","operation_type","impact_indicator_score","impact_indicator_label","unweighted_intensity","weighted_intensity","number_attributions","number_political_responses","number_legal_responses","casualties","attribution_id","initiator_name","initiator_category","initiator_subcategory","receiver_id","receiver_name","receiver_category","receiver_subcategory","receiver_regions","offline_conflict_issue","offline_conflict_name","offline_conflict_intensity","offline_conflict_intensity_subcode","cyber_conflict_issue","physical_effects_spatial","physical_effects_temporal","target_multiplier","functional_impact","intelligence_impact","economic_impact","economic_impact_value","economic_impact_currency","affected_entities","affected_entities_value","affected_eu_countries","affected_eu_countries_value","affected_third_countries","affected_third_countries_value","Data theft","Data theft & Doxing","Disruption","Hijacking with Misuse","Hijacking without Misuse","Not available","Ransomware","added_to_db","updated_at"
935,"Unknown","Unknown","Mongolia","MN",443,"Anonymous vs. Mongolian National Police","Anonymous-affiliated hacker defaces website of the Mongolian National Police.","2013-02-16 00:00:00","2013-02-16 00:00:00","Incident disclosed by attacker","DDoS/Defacement",0,"Not available",1,1,1,0,0,"Not available","534","Anonymous","Non-state-group","Hacktivist(s)","778_0","['Not available']","['State institutions / political system']","['Police']","['ASIA', 'EASIA', 'NEA']","Unknown","Not available","Unknown","Not available","Unknown","Not available","Not available","Moderate - high political importance","Not available","Not available","Not available",0,"Not available","Not available",0,"Not available","Not available","Not available",0,0,0,1,0,0,0,0,"2022-08-15","2022-11-02"
936,"Unknown","Unknown","Montenegro","ME",994,"Cuba Ransomware Gang claims disruptive cyber attacks against Montenegro government servers in 2022","In August 2022, the Montenegro government experienced an initial cyber attack, later confirming two series of attacks on government servers. The Cuba Ransomware Gang, identified by VX-Underground researchers, claimed responsibility through their leak site. The attack disrupted 150 workstations in 10 state institutions, including the Ministry of Finance, using the Zerodate virus. Stolen internal information, such as financial documents, correspondence, and source code related to the Montenegrin parliament, was reported to be leaked. Although the hackers demanded a $10 million ransom, officials deny receiving the demand. The attack targeted electricity and water supply systems, transportation services, and online government services. The National Security Agency (ANB) described it as unprecedented. As a precautionary measure, the state-owned power utility EPCG switched to manual operation. By September 1, 2022, the attack was still ongoing, causing government websites to be unavailable and leading to delays in court processes.
Deputy Prime Minister Konjevic believed there was sufficient evidence to link the attack to Russia, supported by the Montenegrin National Security Agency's briefing that mentioned ""several Russian services"" as the sponsors. The National Security Council decided to await further details from foreign partners to determine the responsible party. Anonymous ANB officials suspected Russian security services of targeting critical infrastructure, resulting in manual control of power plants. The US embassy in Montenegro issued a security alert, advising limited movement due to uncertain disruptions to public utilities, transportation, and telecommunication caused by the ongoing cyber attack. The US and France sent cyber experts to assist Montenegro based on its NATO membership and collective defense commitment.
","2022-08-20 00:00:00","2022-09-02 00:00:00","Incident disclosed by authorities of victim state","Ransomware & data theft extortion",8,"Low",3,3,3,3,0,"Not available","12439","Cuba Ransomware","Non-state-group","Criminal(s)","2665_0","['Parliament (Montenegro)', 'Ministry of Finance (Montenegro)', 'Not available']","['Critical infrastructure', 'State institutions / political system']","['Government / ministries', 'Energy', 'Legislative']","['EUROPE', 'BALKANS', 'NATO', 'WBALKANS']","Not available","Not available","Not available","Not available","Unknown","Not available","Not available","Moderate - high political importance","Weeks (< 4 weeks)","Minor data breach/exfiltration (no critical/sensitive information), data corruption (deletion/altering) and/or leaking of data  ","Not available",0,"euro","Not available",0,"Not available","Not available","Not available",0,0,1,1,0,0,0,1,"2022-08-15","2023-10-04"
937,"Unknown","Unknown","Morocco","MA",43,"Careto aka The Mask","The Mask is an advanced threat actor that has been involved in cyber-espionage operations since at least 2007. What makes The Mask special is the complexity of the toolset used by the attackers.","2007-01-01 00:00:00","Not available","Incident disclosed by IT-security company","Data theft",0,"Not available",2,2,1,0,0,"Not available","57","Careto/The Mask","State affiliated actor","Not available","105_0","['Not available']","['State institutions / political system']","['Government / ministries']","['AFRICA', 'NAF', 'MENA']","Unknown","Not available","Unknown","Not available","Unknown","Not available","Not available","Moderate - high political importance","Not available","Not available","Not available",0,"Not available","Not available",0,"Not available","Not available","Not available",0,1,0,0,0,0,0,0,"2022-08-15","2024-12-09"
937,"Unknown","Unknown","Morocco","MA",3375,"The TA558 cybercrime group stole data from over 300 computer systems in various countries and sectors since at least 2018","The TA558 cybercrime group employed steganography in over 300 attacks on various countries across multiple sectors since at least 2018. 
The information about TA558 comes from research by the Russian cyber security provider Positive Technologies. According to their findings, TA558 concentrates its attacks on Latin America, but European and Asian countries are also among the victims. Many of the attacks were carried out using malicious code embedded in images and RTF documents, so-called steganography attacks.
This cyber incident was already addressed last year by some companies and individuals in the IT security community, but the Positive Technologies report expanded on the targets attacked and the countries affected.","2023-06-15 00:00:00","Not available","Incident disclosed by IT-security company","Data theft",9,"Low",3,3,2,0,0,"Not available","21426","TA558","Non-state-group","Criminal(s)","6241_4","['Not available']","['Social groups', 'Critical infrastructure', 'State institutions / political system']","['Religious', 'Energy', 'Health', 'Civil service / administration']","['AFRICA', 'NAF', 'MENA']","Not available","Not available","Not available","Not available","Unknown","Not available","Not available","Moderate - high political importance","No system interference/disruption","Minor data breach/exfiltration (no critical/sensitive information), but no data corruption (deletion/altering) or leaking of data  ","Not available",0,"euro","51-200",0,"Not available","Not available","Not available",0,1,0,0,1,0,0,0,"2024-04-17","2024-12-03"
938,"Unknown","Unknown","Myanmar","MM",498,"Op Myanmar","Website of Myanmar's president experiences DDoS attack.","2013-08-02 00:00:00","2013-08-02 00:00:00","Incident disclosed by attacker","DDoS/Defacement",0,"Not available",1,1,1,0,0,"Not available","601","Anonymous","Non-state-group","Hacktivist(s)","836_0","['Not available']","['State institutions / political system']","['Government / ministries']","['ASIA', 'SEA']","Unknown","Not available","Unknown","Not available","Cyber-specific","Not available","Not available","Moderate - high political importance","Not available","Not available","Not available",0,"Not available","Not available",0,"Not available","Not available","Not available",0,0,0,1,0,0,0,0,"2022-08-15","2023-03-13"
938,"Unknown","Unknown","Myanmar","MM",818,"Windshift vs. Banks","The APT Windshift attacked the financial system in South Asia with an tailormade attack against one of the local office variants.","2016-01-01 00:00:00","Not available","Incident disclosed by IT-security company","Data theft",0,"Not available",3,3,1,0,0,"Not available","969","Windshift","Non-state-group","Private technology companies / hacking for hire groups without state affiliation / research entities","1314_1","['Not available']","['Critical infrastructure', 'State institutions / political system']","['Government / ministries', 'Finance']","['ASIA', 'SEA']","Unknown","Not available","Unknown","Not available","Unknown","Not available","Not available","Moderate - high political importance","Not available","Not available","Not available",0,"Not available","Not available",0,"Not available","Not available","Not available",0,1,0,0,1,0,0,0,"2022-08-15","2023-03-13"
939,"Unknown","Unknown","Namibia","NA",596,"OP Fun Kill","Anonymous hackers launched Op Fun Kill, a campaign that aims to protest against the killing of animals. The operation was initiated after Dallas Safari Club announced that’s it was auctioning the chance to kill a black rhino in Namibia.","2014-01-08 00:00:00","2014-01-08 00:00:00","Incident disclosed by attacker","Hack and leak",0,"Not available",2,2,1,0,0,"Not available","707","Anonymous","Non-state-group","Hacktivist(s)","977_0","['Not available']","['State institutions / political system']","['Government / ministries']","['AFRICA', 'SSA']","Unknown","Not available","Unknown","Not available","Other","Not available","Not available","Moderate - high political importance","Not available","Not available","Not available",0,"Not available","Not available",0,"Not available","Not available","Not available",0,0,1,1,0,0,0,0,"2022-08-15","2022-11-02"
939,"Unknown","Unknown","Namibia","NA",4149,"Ransomware group Hunters International leaked customer data of Telecom Namibia on 10 December 2024","Hunters International ransomware gang breached the confidentiality of Telecom Namibia, Namibia's state-owned telecom provider, by conducting a ransomware attack at the end of November 2024. It resulted in the leak of over 400,000 files, including personal and financial data of high-ranking government officials and clients, after Telecom Namibia refused to negotiate a ransom, with the data being made public on the dark web. Some of it was circulating on social media, as reported by local media and confirmed by Telecom Namibia's chief executive, Stanley Shanapinda, on December 16, 2024.
Hunters International claimed the ransomware attack on December 10, 2024.","2024-11-01 00:00:00","2024-12-11 00:00:00","Incident disclosed by attacker","Ransomware & data theft extortion",11,"Medium",2,2,1,1,0,"Not available","25272","Hunters International ransomware gang","Non-state-group","Criminal(s)","7577_0","['Telecom Namibia']","['Critical infrastructure']","['Telecommunications']","['AFRICA', 'SSA']","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Moderate - high political importance","Days (< 7 days)","Major data breach/exfiltration (critical/sensitive information) & data corruption (deletion/altering) and/or leaking of data ","Not available",0,"euro","1-10",1,"Not available","Not available","1-10",1,0,1,0,0,0,0,1,"2024-12-17","2025-02-04"
939,"Unknown","Unknown","Namibia","NA",4330,"Akira ransomware group attacked  Telecom Operator Paratus Namibia in Namibia on 19 February 2025","On 19 February 2025, Paratus Namibia, a telecommunications operator in Namibia, reported a cyber attack on its internal computer system, which disrupted some of its information systems and affected its operational processes. The company was investigating the extent of the security breach at the time of the report on 24 February 2025, but no further information about the incident has been disclosed.","2025-02-19 00:00:00","Not available","Incident disclosed by victim","DDoS/Defacement",0,"Not available",0,0,1,0,0,"Not available","25671","Akira Ransomware Group/Storm-1567","Unknown","Not available","8001_0","['Paratus Namibia']","['Critical infrastructure']","['Telecommunications']","['AFRICA', 'SSA']","Unknown","Not available","Unknown","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available",0,"euro","Not available",0,"Not available","Not available","Not available",0,0,0,1,0,0,0,0,"2025-02-25","2025-02-26"
940,"Unknown","Unknown","Nauru","NR",493,"Anonymous vs. Nauru","Hacker group Anonymous brings down Nauruan government websites and main internet provider in solidarity with a riot at an Australian refugee camp on the island. Government has to be ""shut down"" for over four hours.","2013-07-22 00:00:00","2013-07-22 00:00:00","Incident disclosed by attacker","DDoS/Defacement",0,"Not available",1,1,1,0,0,"Not available","595","Anonymous","Non-state-group","Hacktivist(s)","831_1","['Not available']","['Critical infrastructure', 'State institutions / political system']","['Government / ministries', 'Telecommunications']","['OC']","Unknown","Not available","Unknown","Not available","System / ideology","Not available","Not available","Moderate - high political importance","Not available","Not available","Not available",0,"Not available","Not available",0,"Not available","Not available","Not available",0,0,0,1,0,0,0,0,"2022-08-15","2022-11-02"
