"dyad_id","initiator_country","initiator_alpha_2","receiver_country","receiver_country_alpha_2_code","incident_id","name","description","start_date","end_date","source_disclosure","operation_type","impact_indicator_score","impact_indicator_label","unweighted_intensity","weighted_intensity","number_attributions","number_political_responses","number_legal_responses","casualties","attribution_id","initiator_name","initiator_category","initiator_subcategory","receiver_id","receiver_name","receiver_category","receiver_subcategory","receiver_regions","offline_conflict_issue","offline_conflict_name","offline_conflict_intensity","offline_conflict_intensity_subcode","cyber_conflict_issue","physical_effects_spatial","physical_effects_temporal","target_multiplier","functional_impact","intelligence_impact","economic_impact","economic_impact_value","economic_impact_currency","affected_entities","affected_entities_value","affected_eu_countries","affected_eu_countries_value","affected_third_countries","affected_third_countries_value","Data theft","Data theft & Doxing","Disruption","Hijacking with Misuse","Hijacking without Misuse","Not available","Ransomware","added_to_db","updated_at"
0,"Afghanistan","AF","Afghanistan","AF",4278,"TalibLeaks Hacked and Leaked Documents from Taliban Government Ministries and Agencies in Afghanistan on 7 February 2025","On 7 February 2025, a group of hackers, calling themselves TalibLeaks, carried out a massive cyber attack against the Taliban government of Afghanistan's computer systems. They published over 50GB of stolen documents and files online. The leaked records included claims that the Taliban had imprisoned over 1400 women and 16,000 men. Approximately 80 foreign nationals were also said to be being held in Taliban prisons. The leak came from 21 Taliban ministries and government agencies, including the Afghan Food & Drug Administration, Afghan Telecom Regulatory Authority, and the Ministry of Justice. The hackers stated that all files were taken in the past 12 months from compromised Taliban government networks. The Taliban's Ministry of Communications confirmed the leak, but claimed that most files had been publicly accessible for years and that no systems had been hacked. The hackers posted a note on Twitter, stating 'GDPR does not apply in Afghanistan, just like there are no women's rights.' The leak was reported on 7 February 2025.","2024-01-01 00:00:00","2025-02-07 00:00:00","Incident disclosed by attacker","Hack and leak",0,"Not available",0,0,1,1,0,"Not available","25364","TalibLeaks","Unknown","Not available","7867_0","['21 Taliban ministries and government agencies.']","['State institutions / political system']","['Government / ministries']","['ASIA', 'SASIA']","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available",0,"euro","Not available",0,"Not available","Not available","Not available",0,0,1,0,1,0,0,0,"2025-02-10","2025-02-12"
1,"Afghanistan","AF","Pakistan","PK",488,"Afghan Cyber Army attack on Pakistan","Afghan hackers deface six Pakistani government websites, leaving messages that accuse Pakistan of having orchestrated a suicide bombing in Kabul.","2013-07-11 00:00:00","2013-07-11 00:00:00","Incident disclosed by attacker","DDoS/Defacement",0,"Not available",1,1,1,0,0,"Not available","589","Afghan Cyber Army","Non-state-group","Hacktivist(s)","826_0","['Not available']","['State institutions / political system']","['Government / ministries']","['ASIA', 'SASIA', 'SCO']","Third-party intervention / third-party affection","Not available","Yes / HIIK intensity","HIIK 3","International power","Not available","Not available","Moderate - high political importance","Not available","Not available","Not available",0,"Not available","Not available",0,"Not available","Not available","Not available",0,0,0,1,0,0,0,0,"2022-08-15","2022-11-02"
1,"Afghanistan","AF","Pakistan","PK",499,"Afghan Cyber Army attack on Pakistan Part II","Afghan hackers hack the webpage of the Pakistani National Database and Registration Authority in retaliation against airstrikes in Kunar and Jalalabad.","2013-08-03 00:00:00","2013-08-03 00:00:00","Incident disclosed by attacker","DDoS/Defacement",0,"Not available",1,1,1,0,0,"Not available","602","Afghan Cyber Army","Non-state-group","Hacktivist(s)","837_0","['Not available']","['State institutions / political system']","['Civil service / administration']","['ASIA', 'SASIA', 'SCO']","Third-party intervention / third-party affection","Not available","Yes / HIIK intensity","HIIK 3","Territory","Not available","Not available","Moderate - high political importance","Not available","Not available","Not available",0,"Not available","Not available",0,"Not available","Not available","Not available",0,0,0,1,0,0,0,0,"2022-08-15","2022-11-02"
2,"Algeria","DZ","Algeria","DZ",525,"Over-X vs. Algerian ministry of housing","Algerian hacker Over-X hacks and defaces Algerian ministry of housing and urban planning over corruption and lack of housing, jobs.","2013-10-21 00:00:00","2013-10-21 00:00:00","Incident disclosed by attacker","DDoS/Defacement",0,"Not available",2,2,1,0,0,"Not available","628","Over-X","Individual hacker(s)","Not available","864_0","['Not available']","['State institutions / political system']","['Government / ministries']","['AFRICA', 'NAF', 'MENA']","National power","Not available","Yes / HIIK intensity","HIIK 3","System / ideology","Not available","Not available","Moderate - high political importance","Not available","Not available","Not available",0,"Not available","Not available",0,"Not available","Not available","Not available",0,0,0,1,0,0,0,0,"2022-08-15","2022-11-02"
2,"Algeria","DZ","Algeria","DZ",1183,"North African Fox Espionage campaign","The algerian hacking group ""North African Fox"" targets military entities in Arab countries.","2018-10-01 00:00:00","Not available","Incident disclosed by IT-security company","Data theft",0,"Not available",3,3,1,0,0,"Not available","1396","APT-C-44/North African Fox","State","Not available","1904_0","['Not available']","['State institutions / political system']","['Military']","['AFRICA', 'NAF', 'MENA']","Unknown","Not available","Unknown","Not available","Unknown","Not available","Not available","Moderate - high political importance","Not available","Not available","Not available",0,"Not available","Not available",0,"Not available","Not available","Not available",0,1,0,0,1,0,0,0,"2022-08-15","2022-11-02"
3,"Algeria","DZ","France","FR",866,"TeamSystemDz defacement of western websites","Pro-ISIS Algerian-based TeamSystemDz defaced 88 websites from the US, France, Israel and the UK. In particular, it defaced several websites in Richland County.","2016-04-14 00:00:00","2016-04-17 00:00:00","Incident disclosed by attacker","DDoS/Defacement",0,"Not available",2,2,1,0,0,"Not available","1026","Team System Dz","Non-state-group","Terrorist(s)","1373_2","['Not available']","['Critical infrastructure', 'State institutions / political system']","['Government / ministries', 'Health', 'Civil service / administration']","['EUROPE', 'NATO', 'EU', 'WESTEU']","Unknown","Not available","Unknown","Not available","System / ideology","Not available","Not available","Moderate - high political importance","Not available","Not available","Not available",0,"Not available","Not available",0,"Not available","Not available","Not available",0,0,0,1,0,0,0,0,"2022-08-15","2022-11-02"
4,"Algeria","DZ","Israel","IL",866,"TeamSystemDz defacement of western websites","Pro-ISIS Algerian-based TeamSystemDz defaced 88 websites from the US, France, Israel and the UK. In particular, it defaced several websites in Richland County.","2016-04-14 00:00:00","2016-04-17 00:00:00","Incident disclosed by attacker","DDoS/Defacement",0,"Not available",2,2,1,0,0,"Not available","1026","Team System Dz","Non-state-group","Terrorist(s)","1374_2","['Not available']","['Critical infrastructure', 'State institutions / political system']","['Government / ministries', 'Health', 'Civil service / administration']","['ASIA', 'MENA', 'MEA']","Unknown","Not available","Unknown","Not available","System / ideology","Not available","Not available","Moderate - high political importance","Not available","Not available","Not available",0,"Not available","Not available",0,"Not available","Not available","Not available",0,0,0,1,0,0,0,0,"2022-08-15","2022-11-02"
5,"Algeria","DZ","Jordan","JO",1183,"North African Fox Espionage campaign","The algerian hacking group ""North African Fox"" targets military entities in Arab countries.","2018-10-01 00:00:00","Not available","Incident disclosed by IT-security company","Data theft",0,"Not available",3,3,1,0,0,"Not available","1396","APT-C-44/North African Fox","State","Not available","1903_0","['Not available']","['State institutions / political system']","['Military']","['ASIA', 'MENA', 'MEA']","Unknown","Not available","Unknown","Not available","Unknown","Not available","Not available","Moderate - high political importance","Not available","Not available","Not available",0,"Not available","Not available",0,"Not available","Not available","Not available",0,1,0,0,1,0,0,0,"2022-08-15","2022-11-02"
6,"Algeria","DZ","United Kingdom","GB",866,"TeamSystemDz defacement of western websites","Pro-ISIS Algerian-based TeamSystemDz defaced 88 websites from the US, France, Israel and the UK. In particular, it defaced several websites in Richland County.","2016-04-14 00:00:00","2016-04-17 00:00:00","Incident disclosed by attacker","DDoS/Defacement",0,"Not available",2,2,1,0,0,"Not available","1026","Team System Dz","Non-state-group","Terrorist(s)","1375_2","['Not available']","['Critical infrastructure', 'State institutions / political system']","['Government / ministries', 'Health', 'Civil service / administration']","['EUROPE', 'NATO', 'EU', 'NORTHEU']","Unknown","Not available","Unknown","Not available","System / ideology","Not available","Not available","Moderate - high political importance","Not available","Not available","Not available",0,"Not available","Not available",0,"Not available","Not available","Not available",0,0,0,1,0,0,0,0,"2022-08-15","2022-11-02"
7,"Algeria","DZ","United States","US",866,"TeamSystemDz defacement of western websites","Pro-ISIS Algerian-based TeamSystemDz defaced 88 websites from the US, France, Israel and the UK. In particular, it defaced several websites in Richland County.","2016-04-14 00:00:00","2016-04-17 00:00:00","Incident disclosed by attacker","DDoS/Defacement",0,"Not available",2,2,1,0,0,"Not available","1026","Team System Dz","Non-state-group","Terrorist(s)","1372_2","['Not available']","['Critical infrastructure', 'State institutions / political system']","['Government / ministries', 'Health', 'Civil service / administration']","['NATO', 'NORTHAM']","Unknown","Not available","Unknown","Not available","System / ideology","Not available","Not available","Moderate - high political importance","Not available","Not available","Not available",0,"Not available","Not available",0,"Not available","Not available","Not available",0,0,0,1,0,0,0,0,"2022-08-15","2022-11-02"
8,"Argentina","AR","Argentina","AR",529,"Team HackingArgentino defaces Website of Argentinian Opposition Leader","Hacktivists of Team HackingArgentino have breached and defaced the official website of Sergio Massa, the leader of the opposition in Argentina, leaving a message that he should keep his promises.","2013-10-27 00:00:00","2013-10-27 00:00:00","Incident disclosed by attacker","DDoS/Defacement",0,"Not available",1,1,1,0,0,"Not available","632","Team Hacking Argentino","Non-state-group","Hacktivist(s)","868_1","['Not available']","['Social groups', 'State institutions / political system']","['Political parties', 'Political opposition / dissidents / expats']","['SOUTHAM']","Unknown","Not available","Unknown","Not available","National power","Not available","Not available","Moderate - high political importance","Not available","Not available","Not available",0,"Not available","Not available",0,"Not available","Not available","Not available",0,0,0,1,0,0,0,0,"2022-08-15","2022-11-02"
8,"Argentina","AR","Argentina","AR",4103,"Cybercriminal group FOG launched a ransomware attack on Rossi Group, medical company in Argentina, around 23 November 2024","Around 23 November 2024, the Rossi Group, which includes Rossi, Stamboulian and Hidalgo Laboratory medical centers, suffered a ransomware cyberattack by the FOG group, which paralyzed the systems, lowered websites, and prevented patients from doing studies and taking turns. The attackers encrypted information and asked for a cryptocurrency ransom in return, but no deadline was given, and the company did not enter into negotiations. According to the company's CEO, Omar De Fornari, no patient data was compromised, but forensic analysis has not confirmed this.","2024-11-23 00:00:00","2024-11-23 00:00:00","Incident disclosed by victim","Ransomware & data theft extortion",5,"Minor",2,2,1,0,1,"Not available","24796","FOG","Non-state-group","Criminal(s)","7449_0","['Stamboulian Health Services', 'Rossi Center', 'Hidalgo Laboratory']","['Critical infrastructure']","['Health']","['SOUTHAM']","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Moderate - high political importance","No system interference/disruption","No data breach/exfiltration or data corruption (deletion/altering) and/or leaking of data","Not available",0,"euro","1-10",3,"Not available","Not available","1-10",1,0,0,0,1,0,0,1,"2024-12-05","2025-01-08"
9,"Armenia","AM","Azerbaijan","AZ",3,"Armenian hacktivists target Azerbaijani webpages as part of a tit-for-tat between the nation`s hacktivists in February 2000","In response to previous DDoS-operations against Armenian websites in January/February 2000, an Armenian hacker group called Liazor took down the webpages of many Azerbaijani users, humanitarian organization and newspapers as a revenge act.","2000-02-01 00:00:00","Not available","Incident disclosed by attacker","DDoS/Defacement",0,"Not available",1,1,1,0,0,"Not available","17417","Liazor","Non-state-group","Hacktivist(s)","3_0","['Not available']","['Social groups']","['Advocacy / activists (e.g. human rights organizations)']","['ASIA', 'CENTAS']","Resources","Armenia - Azerbaijan","Yes / HIIK intensity","HIIK 1","Resources","Not available","Not available","Moderate - high political importance","Not available","Not available","Not available",0,"euro","Not available",0,"Not available","Not available","Not available",0,0,0,1,0,0,0,0,"2022-08-15","2024-02-23"
9,"Armenia","AM","Azerbaijan","AZ",52,"Azerbaijani-Armenian Cybewar 2007 Armenian Attack","Hackers identifying themselves to be connected to the Armenian state service hacked and defaced the website of the Azerbaijani state television","2007-01-22 00:00:00","2007-01-22 00:00:00","Incident disclosed by attacker","DDoS/Defacement",0,"Not available",1,1,1,0,0,"Not available","69","Armenian State Service","State","Not available","137_0","['Not available']","['State institutions / political system']","['Election infrastructure / related systems']","['ASIA', 'CENTAS']","Secession","Not available","Yes / HIIK intensity","HIIK 3","Secession","Not available","Not available","Moderate - high political importance","Not available","Not available","Not available",0,"Not available","Not available",0,"Not available","Not available","Not available",0,0,0,1,0,0,0,0,"2022-08-15","2023-03-13"
9,"Armenia","AM","Azerbaijan","AZ",769,"Monte Melkonian CyberArmy vs. Azerbaijani Central Bank","Armenian Hackergroup ""Monte Melkonian CyberArmy"" hacks azerbijans Central Bank and leaked sensitive personal Data","2015-11-11 00:00:00","2015-11-11 00:00:00","Incident disclosed by attacker","Hack and leak",0,"Not available",1,1,1,0,0,"Not available","6329","Monte Melkonian Cyber Army","Non-state-group","Hacktivist(s)","1207_1","['Not available']","['Critical infrastructure', 'State institutions / political system']","['Finance', 'Other (e.g., embassies)']","['ASIA', 'CENTAS']","Territory","Not available","Yes / HIIK intensity","HIIK 3","Territory","Not available","Not available","Moderate - high political importance","Not available","Not available","Not available",0,"euro","Not available",0,"Not available","Not available","Not available",0,0,1,0,0,0,0,0,"2022-08-15","2023-03-13"
9,"Armenia","AM","Azerbaijan","AZ",785,"Monte Melkonian CyberArmy vs. Azerbaijani Ministry of Labour","Armenian Hackergroup ""Monte Melkonian CyberArmy"" hacks azerbaijan Ministry of Labour and Social Protection and Ministry of emergency situation stealing sensitive data about registered person","2015-12-18 00:00:00","2015-12-18 00:00:00","Incident disclosed by attacker","Hack and leak",0,"Not available",1,1,1,0,0,"Not available","932","Monte Melkonian Cyber Army","Non-state-group","Hacktivist(s)","1228_0","['Not available']","['State institutions / political system']","['Government / ministries']","['ASIA', 'CENTAS']","Territory","Not available","Yes / HIIK intensity","HIIK 3","Territory","Not available","Not available","Moderate - high political importance","Not available","Not available","Not available",0,"Not available","Not available",0,"Not available","Not available","Not available",0,0,1,0,0,0,0,0,"2022-08-15","2022-11-02"
9,"Armenia","AM","Azerbaijan","AZ",836,"Monte Melkonian CyberArmy vs. Azerbaijan","The Monte Melkonian CyberArmy attacked Azerbaijani E-government pages","2016-01-28 00:00:00","2016-01-28 00:00:00","Incident disclosed by attacker","Hack and leak",0,"Not available",2,2,1,0,0,"Not available","990","Monte Melkonian Cyber Army","Non-state-group","Hacktivist(s)","1336_2","['Not available']","['State institutions / political system']","['Government / ministries', 'Military', 'Civil service / administration']","['ASIA', 'CENTAS']","Territory","Not available","Yes / HIIK intensity","HIIK 3","Territory","Not available","Not available","Moderate - high political importance","Not available","Not available","Not available",0,"Not available","Not available",0,"Not available","Not available","Not available",0,0,1,1,0,0,0,0,"2022-08-15","2022-11-02"
9,"Armenia","AM","Azerbaijan","AZ",863,"Armenian-Azerbaijan-cyber-conflict Part 2","The Monte Melkonian Cyber Army took down Azerbaijani servers","2016-04-02 00:00:00","2016-04-02 00:00:00","Incident disclosed by attacker","DDoS/Defacement",0,"Not available",1,1,1,0,0,"Not available","1022","Monte Melkonian Cyber Army","Non-state-group","Hacktivist(s)","1369_0","['Not available']","['State institutions / political system']","['Government / ministries']","['ASIA', 'CENTAS']","Territory","Not available","Yes / HIIK intensity","HIIK 3","Territory","Not available","Not available","Moderate - high political importance","Not available","Not available","Not available",0,"Not available","Not available",0,"Not available","Not available","Not available",0,0,0,1,0,0,0,0,"2022-08-15","2022-11-02"
9,"Armenia","AM","Azerbaijan","AZ",902,"Azerbaijani Bank Data Leak","Armenian hackers from the Monte Melkonian Cyber Army (MMCA) have leaked a number of data allegedly belonging to Azerbaijani banks, military and police servers.","2016-09-01 00:00:00","Not available","Incident disclosed by attacker","Hack and leak",0,"Not available",3,3,1,0,0,"Not available","6585","Monte Melkonian Cyber Army","Non-state-group","Hacktivist(s)","1424_3","['Not available']","['Critical infrastructure', 'State institutions / political system']","['Government / ministries', 'Police', 'Finance', 'Military']","['ASIA', 'CENTAS']","Territory","Not available","Yes / HIIK intensity","HIIK 3","Territory","Not available","Not available","Moderate - high political importance","Not available","Not available","Not available",0,"euro","Not available",0,"Not available","Not available","Not available",0,0,1,1,0,0,0,0,"2022-08-15","2023-02-08"
10,"Armenia","AM","Turkey","TR",707,"Armenian-Turk Cyberwar Armenian Side","Armenian groups involved in cyber attacks against Turkish government include Anonymous Armenia, Monte Melkonian Cyber Army, Caucasus cyber army and ASALA","2015-04-01 00:00:00","2015-04-24 00:00:00","Incident disclosed by attacker","DDoS/Defacement",0,"Not available",1,1,1,0,0,"Not available","843","Anonymous","Non-state-group","Hacktivist(s)","1131_0","['Not available']","['State institutions / political system']","['Government / ministries']","['ASIA', 'NATO', 'MEA']","Unknown","Not available","Unknown","Not available","Other","Not available","Not available","Moderate - high political importance","Not available","Not available","Not available",0,"Not available","Not available",0,"Not available","Not available","Not available",0,0,0,1,0,0,0,0,"2022-08-15","2022-11-02"
11,"Asia (region)","ASIA","Asia (region)","ASIA",2626,"Chinese-speaking threat actor gained access to websites of e-commerce sites and point-of-sale providers in Asia and North and Latin America since October 2022","A Chinese-speaking threat actor has gained access to the websites of e-commerce sites and point-of-sale providers in Asia as well as North and Latin America since October 2022. Blackberry tracks the campaign of the financially motivated actor as 'Silent Skimmer'.","2022-10-01 00:00:00","Not available","Incident disclosed by IT-security company","Data theft",7,"Low",4,4,1,0,0,"Not available","13983","Unknown","Unknown","Not available","4921_0","['Not available']","['Critical infrastructure']","['Critical Manufacturing']","['Not available']","Not available","Not available","Not available","Not available","Unknown","Not available","Not available","Moderate - high political importance","No system interference/disruption","Data corruption (deletion/altering) but no leaking of data, no data breach/exfiltration OR major data breach / exfiltration, but no data corruption and/or leaking of data","Not available",0,"euro","1-10",0,"Not available","Not available","1-10",0,1,0,0,1,0,0,0,"2023-09-19","2023-10-30"
12,"Asia (region)","ASIA","Canada","CA",2626,"Chinese-speaking threat actor gained access to websites of e-commerce sites and point-of-sale providers in Asia and North and Latin America since October 2022","A Chinese-speaking threat actor has gained access to the websites of e-commerce sites and point-of-sale providers in Asia as well as North and Latin America since October 2022. Blackberry tracks the campaign of the financially motivated actor as 'Silent Skimmer'.","2022-10-01 00:00:00","Not available","Incident disclosed by IT-security company","Data theft",7,"Low",4,4,1,0,0,"Not available","13983","Unknown","Unknown","Not available","4923_0","['Not available']","['Critical infrastructure']","['Critical Manufacturing']","['NATO', 'NORTHAM']","Not available","Not available","Not available","Not available","Unknown","Not available","Not available","Moderate - high political importance","No system interference/disruption","Data corruption (deletion/altering) but no leaking of data, no data breach/exfiltration OR major data breach / exfiltration, but no data corruption and/or leaking of data","Not available",0,"euro","1-10",0,"Not available","Not available","1-10",0,1,0,0,1,0,0,0,"2023-09-19","2023-10-30"
13,"Asia (region)","ASIA","Central America (region)","CENTAM",2626,"Chinese-speaking threat actor gained access to websites of e-commerce sites and point-of-sale providers in Asia and North and Latin America since October 2022","A Chinese-speaking threat actor has gained access to the websites of e-commerce sites and point-of-sale providers in Asia as well as North and Latin America since October 2022. Blackberry tracks the campaign of the financially motivated actor as 'Silent Skimmer'.","2022-10-01 00:00:00","Not available","Incident disclosed by IT-security company","Data theft",7,"Low",4,4,1,0,0,"Not available","13983","Unknown","Unknown","Not available","4928_0","['Not available']","['Critical infrastructure']","['Critical Manufacturing']","['Not available']","Not available","Not available","Not available","Not available","Unknown","Not available","Not available","Moderate - high political importance","No system interference/disruption","Data corruption (deletion/altering) but no leaking of data, no data breach/exfiltration OR major data breach / exfiltration, but no data corruption and/or leaking of data","Not available",0,"euro","1-10",0,"Not available","Not available","1-10",0,1,0,0,1,0,0,0,"2023-09-19","2023-10-30"
14,"Asia (region)","ASIA","China","CN",1937,"Unknown actors gained access to the customer accounts of three major data centres in China and Singapore and leaked the information beginning in September 2021","Unknown actors gained access to the accounts of several thousand customers of two major data centres in China and Singapore beginning in September 2021, according to a technical report of IT security company Resecurity. Affected customers include financial institutions with a global presence, investment funds, biomedical research companies, technology vendors, e-commerce and online marketplaces, cloud providers, internet service providers (ISP) and content delivery networks (CDN) headquartered in the United States, Canada, Australia, Switzerland, New Zealand, and China. 
Despite this high-profile customer portfolio, the stolen credentials primarily provide access to internal ticketing systems and service requests with limited potential for abuse. 
The data centre operators initiated a password reset, after which the attackers offered the cache of credentials for sale on the dark web in January 2023. In mid-February, the attackers posted the dataset for free. 
Although password changes will have invalidated the leaked login information, published email addresses mays still enable targeted phishing campaigns. 
Resecurity did not name the two data centres affected. Separate media reports identify the operators as ST Telemedia Global Data Centres (STT GDC) in Singapore and GDS in China. In addition to the above-mentioned customers, a US data centre was also affected, which is the customer of one of the two named data centres.  Bloomberg reported business connections between the two, pointing out at the parent company of STT GDC had acquired a 40% stake in GDS in 2014.","2021-09-01 00:00:00","Not available","Incident disclosed by attacker","Hack and leak",8,"Low",3,3,1,0,0,"Not available","16151","Unknown","Unknown","Not available","3384_0","['GDS']","['Critical infrastructure']","['Other']","['ASIA', 'SCS', 'EASIA', 'NEA', 'SCO']","Not available","Not available","Not available","Not available","Unknown","Not available","Not available","Moderate - high political importance","No system interference/disruption","Minor data breach/exfiltration (no critical/sensitive information), data corruption (deletion/altering) and/or leaking of data  ","Not available",0,"euro","1-10",0,"Not available","Not available","1-10",0,0,1,0,1,0,0,0,"2023-02-22","2024-07-08"
15,"Asia (region)","ASIA","Not available","Not available",1937,"Unknown actors gained access to the customer accounts of three major data centres in China and Singapore and leaked the information beginning in September 2021","Unknown actors gained access to the accounts of several thousand customers of two major data centres in China and Singapore beginning in September 2021, according to a technical report of IT security company Resecurity. Affected customers include financial institutions with a global presence, investment funds, biomedical research companies, technology vendors, e-commerce and online marketplaces, cloud providers, internet service providers (ISP) and content delivery networks (CDN) headquartered in the United States, Canada, Australia, Switzerland, New Zealand, and China. 
Despite this high-profile customer portfolio, the stolen credentials primarily provide access to internal ticketing systems and service requests with limited potential for abuse. 
The data centre operators initiated a password reset, after which the attackers offered the cache of credentials for sale on the dark web in January 2023. In mid-February, the attackers posted the dataset for free. 
Although password changes will have invalidated the leaked login information, published email addresses mays still enable targeted phishing campaigns. 
Resecurity did not name the two data centres affected. Separate media reports identify the operators as ST Telemedia Global Data Centres (STT GDC) in Singapore and GDS in China. In addition to the above-mentioned customers, a US data centre was also affected, which is the customer of one of the two named data centres.  Bloomberg reported business connections between the two, pointing out at the parent company of STT GDC had acquired a 40% stake in GDS in 2014.","2021-09-01 00:00:00","Not available","Incident disclosed by attacker","Hack and leak",8,"Low",3,3,1,0,0,"Not available","16151","Unknown","Unknown","Not available","3371_0","['Not available']","['Critical infrastructure']","['Finance', 'Chemicals']","['Not available']","Not available","Not available","Not available","Not available","Unknown","Not available","Not available","Moderate - high political importance","No system interference/disruption","Minor data breach/exfiltration (no critical/sensitive information), data corruption (deletion/altering) and/or leaking of data  ","Not available",0,"euro","1-10",0,"Not available","Not available","1-10",0,0,1,0,1,0,0,0,"2023-02-22","2024-07-08"
16,"Asia (region)","ASIA","Singapore","SG",1937,"Unknown actors gained access to the customer accounts of three major data centres in China and Singapore and leaked the information beginning in September 2021","Unknown actors gained access to the accounts of several thousand customers of two major data centres in China and Singapore beginning in September 2021, according to a technical report of IT security company Resecurity. Affected customers include financial institutions with a global presence, investment funds, biomedical research companies, technology vendors, e-commerce and online marketplaces, cloud providers, internet service providers (ISP) and content delivery networks (CDN) headquartered in the United States, Canada, Australia, Switzerland, New Zealand, and China. 
Despite this high-profile customer portfolio, the stolen credentials primarily provide access to internal ticketing systems and service requests with limited potential for abuse. 
The data centre operators initiated a password reset, after which the attackers offered the cache of credentials for sale on the dark web in January 2023. In mid-February, the attackers posted the dataset for free. 
Although password changes will have invalidated the leaked login information, published email addresses mays still enable targeted phishing campaigns. 
Resecurity did not name the two data centres affected. Separate media reports identify the operators as ST Telemedia Global Data Centres (STT GDC) in Singapore and GDS in China. In addition to the above-mentioned customers, a US data centre was also affected, which is the customer of one of the two named data centres.  Bloomberg reported business connections between the two, pointing out at the parent company of STT GDC had acquired a 40% stake in GDS in 2014.","2021-09-01 00:00:00","Not available","Incident disclosed by attacker","Hack and leak",8,"Low",3,3,1,0,0,"Not available","16151","Unknown","Unknown","Not available","3382_0","['ST Telemedia Global Data Centres']","['Critical infrastructure']","['Other']","['ASIA']","Not available","Not available","Not available","Not available","Unknown","Not available","Not available","Moderate - high political importance","No system interference/disruption","Minor data breach/exfiltration (no critical/sensitive information), data corruption (deletion/altering) and/or leaking of data  ","Not available",0,"euro","1-10",0,"Not available","Not available","1-10",0,0,1,0,1,0,0,0,"2023-02-22","2024-07-08"
17,"Asia (region)","ASIA","South America","Not available",2626,"Chinese-speaking threat actor gained access to websites of e-commerce sites and point-of-sale providers in Asia and North and Latin America since October 2022","A Chinese-speaking threat actor has gained access to the websites of e-commerce sites and point-of-sale providers in Asia as well as North and Latin America since October 2022. Blackberry tracks the campaign of the financially motivated actor as 'Silent Skimmer'.","2022-10-01 00:00:00","Not available","Incident disclosed by IT-security company","Data theft",7,"Low",4,4,1,0,0,"Not available","13983","Unknown","Unknown","Not available","4929_0","['Not available']","['Critical infrastructure']","['Critical Manufacturing']","['Not available']","Not available","Not available","Not available","Not available","Unknown","Not available","Not available","Moderate - high political importance","No system interference/disruption","Data corruption (deletion/altering) but no leaking of data, no data breach/exfiltration OR major data breach / exfiltration, but no data corruption and/or leaking of data","Not available",0,"euro","1-10",0,"Not available","Not available","1-10",0,1,0,0,1,0,0,0,"2023-09-19","2023-10-30"
18,"Asia (region)","ASIA","United States","US",1937,"Unknown actors gained access to the customer accounts of three major data centres in China and Singapore and leaked the information beginning in September 2021","Unknown actors gained access to the accounts of several thousand customers of two major data centres in China and Singapore beginning in September 2021, according to a technical report of IT security company Resecurity. Affected customers include financial institutions with a global presence, investment funds, biomedical research companies, technology vendors, e-commerce and online marketplaces, cloud providers, internet service providers (ISP) and content delivery networks (CDN) headquartered in the United States, Canada, Australia, Switzerland, New Zealand, and China. 
Despite this high-profile customer portfolio, the stolen credentials primarily provide access to internal ticketing systems and service requests with limited potential for abuse. 
The data centre operators initiated a password reset, after which the attackers offered the cache of credentials for sale on the dark web in January 2023. In mid-February, the attackers posted the dataset for free. 
Although password changes will have invalidated the leaked login information, published email addresses mays still enable targeted phishing campaigns. 
Resecurity did not name the two data centres affected. Separate media reports identify the operators as ST Telemedia Global Data Centres (STT GDC) in Singapore and GDS in China. In addition to the above-mentioned customers, a US data centre was also affected, which is the customer of one of the two named data centres.  Bloomberg reported business connections between the two, pointing out at the parent company of STT GDC had acquired a 40% stake in GDS in 2014.","2021-09-01 00:00:00","Not available","Incident disclosed by attacker","Hack and leak",8,"Low",3,3,1,0,0,"Not available","16151","Unknown","Unknown","Not available","3383_0","['Not available']","['Critical infrastructure']","['Other']","['NATO', 'NORTHAM']","Not available","Not available","Not available","Not available","Unknown","Not available","Not available","Moderate - high political importance","No system interference/disruption","Minor data breach/exfiltration (no critical/sensitive information), data corruption (deletion/altering) and/or leaking of data  ","Not available",0,"euro","1-10",0,"Not available","Not available","1-10",0,0,1,0,1,0,0,0,"2023-02-22","2024-07-08"
18,"Asia (region)","ASIA","United States","US",2626,"Chinese-speaking threat actor gained access to websites of e-commerce sites and point-of-sale providers in Asia and North and Latin America since October 2022","A Chinese-speaking threat actor has gained access to the websites of e-commerce sites and point-of-sale providers in Asia as well as North and Latin America since October 2022. Blackberry tracks the campaign of the financially motivated actor as 'Silent Skimmer'.","2022-10-01 00:00:00","Not available","Incident disclosed by IT-security company","Data theft",7,"Low",4,4,1,0,0,"Not available","13983","Unknown","Unknown","Not available","4922_0","['Not available']","['Critical infrastructure']","['Critical Manufacturing']","['NATO', 'NORTHAM']","Not available","Not available","Not available","Not available","Unknown","Not available","Not available","Moderate - high political importance","No system interference/disruption","Data corruption (deletion/altering) but no leaking of data, no data breach/exfiltration OR major data breach / exfiltration, but no data corruption and/or leaking of data","Not available",0,"euro","1-10",0,"Not available","Not available","1-10",0,1,0,0,1,0,0,0,"2023-09-19","2023-10-30"
